,variable,unit,value,Stellar flux,assumption
317,Fc,W/$m^2$,186.02545854685718,1424.2424242424242,WTG
318,fc,,0.4184995799639931,1424.2424242424242,WTG
319,q1,kg/kg,0.005715064351347633,1424.2424242424242,WTG
320,q2,kg/kg,0.0011166784536752487,1424.2424242424242,WTG
321,q3,kg/kg,0.00041875442012821826,1424.2424242424242,WTG
322,alpha_p,,0.47083461776723373,1424.2424242424242,WTG
323,epsilon2,,0.6726346500612027,1424.2424242424242,WTG
324,epsilon3,,0.3421342659857184,1424.2424242424242,WTG
325,T1,K,280.00643340405554,1424.2424242424242,WBG
326,T2,K,253.35818256957003,1424.2424242424242,WBG
327,T3,K,253.45605535922712,1424.2424242424242,WBG
328,T4,K,210.0910356106768,1424.2424242424242,WBG
329,Fa,W/$m^2$,152.6585621802703,1424.2424242424242,WBG
330,Fc,W/$m^2$,185.9859313786173,1424.2424242424242,WBG
331,fc,,0.4184826704603997,1424.2424242424242,WBG
332,q1,kg/kg,0.0057087786231192995,1424.2424242424242,WBG
333,q2,kg/kg,0.0011145140176945024,1424.2424242424242,WBG
334,q3,kg/kg,0.0004179427566354384,1424.2424242424242,WBG
335,alpha_p,,0.47081923011896376,1424.2424242424242,WBG
336,epsilon2,,0.6719253213475714,1424.2424242424242,WBG
337,epsilon3,,0.3416000836274353,1424.2424242424242,WBG
338,T1,K,280.5326351980707,1459.5959595959596,WTG
339,T2,K,254.12177435048412,1459.5959595959596,WTG
340,T3,K,254.12177435048412,1459.5959595959596,WTG
341,T4,K,213.1458237460038,1459.5959595959596,WTG
342,Fa,W/$m^2$,159.97612753119023,1459.5959595959596,WTG
343,Fc,W/$m^2$,194.616839045057,1459.5959595959596,WTG
344,fc,,0.4220926274466131,1459.5959595959596,WTG
345,q1,kg/kg,0.005920409119368296,1459.5959595959596,WTG
346,q2,kg/kg,0.0011884910627347153,1459.5959595959596,WTG
347,q3,kg/kg,0.0004456841485255182,1459.5959595959596,WTG
348,alpha_p,,0.47410429097641793,1459.5959595959596,WTG
349,epsilon2,,0.6953193386173554,1459.5959595959596,WTG
350,epsilon3,,0.35961399301358954,1459.5959595959596,WTG
351,T1,K,280.5153209565962,1459.5959595959596,WBG
352,T2,K,254.0965865888705,1459.5959595959596,WBG
353,T3,K,254.20102714022133,1459.5959595959596,WBG
354,T4,K,213.13024150950883,1459.5959595959596,WBG
355,Fa,W/$m^2$,159.9881350361664,1459.5959595959596,WBG
356,Fc,W/$m^2$,194.57323158447477,1459.5959595959596,WBG
357,fc,,0.42207479163163236,1459.5959595959596,WBG
358,q1,kg/kg,0.005913334729471168,1459.5959595959596,WBG
359,q2,kg/kg,0.0011859815243596469,1459.5959595959596,WBG
360,q3,kg/kg,0.00044474307163486747,1459.5959595959596,WBG
361,alpha_p,,0.47408806038478546,1459.5959595959596,WBG
362,epsilon2,,0.694553770596092,1459.5959595959596,WBG
363,epsilon3,,0.3590110568811862,1459.5959595959596,WBG
364,T1,K,281.03081654267015,1494.949494949495,WTG
365,T2,K,254.84824401466827,1494.949494949495,WTG
366,T3,K,254.84824401466827,1494.949494949495,WTG
367,T4,K,216.1112992179644,1494.949494949495,WTG
368,Fa,W/$m^2$,167.2485138557858,1494.949494949495,WTG
369,Fc,W/$m^2$,203.1566789664565,1494.949494949495,WTG
370,fc,,0.42551101865649715,1494.949494949495,WTG
371,q1,kg/kg,0.006127252682717756,1494.949494949495,WTG
372,q2,kg/kg,0.0012629772965228284,1494.949494949495,WTG
373,q3,kg/kg,0.0004736164861960606,1494.949494949495,WTG
374,alpha_p,,0.4772150269774124,1494.949494949495,WTG
375,epsilon2,,0.7171892396973422,1494.949494949495,WTG
376,epsilon3,,0.37725396152198154,1494.949494949495,WTG
377,T1,K,281.01195309184004,1494.949494949495,WBG
378,T2,K,254.82067641592732,1494.949494949495,WBG
379,T3,K,254.931945019968,1494.949494949495,WBG
380,T4,K,216.09343794052498,1494.949494949495,WBG
381,Fa,W/$m^2$,167.26309372645176,1494.949494949495,WBG
382,Fc,W/$m^2$,203.10904252433838,1494.949494949495,WBG
383,fc,,0.4254923498573002,1494.949494949495,WBG
384,q1,kg/kg,0.0061193036397506045,1494.949494949495,WBG
385,q2,kg/kg,0.00126007521844625,1494.949494949495,WBG
386,q3,kg/kg,0.0004725282069173438,1494.949494949495,WBG
387,alpha_p,,0.4771980383701432,1494.949494949495,WBG
388,epsilon2,,0.7163673087129647,1494.949494949495,WBG
389,epsilon3,,0.3765758710033975,1494.949494949495,WBG
390,T1,K,281.51869527852773,1530.3030303030305,WTG
391,T2,K,255.56281434812539,1530.3030303030305,WTG
392,T3,K,255.56281434812539,1530.3030303030305,WTG
393,T4,K,219.00838326742553,1530.3030303030305,WTG
394,Fa,W/$m^2$,174.4627892744372,1530.3030303030305,WTG
395,Fc,W/$m^2$,211.63883240993727,1530.3030303030305,WTG
396,fc,,0.4287676083220751,1530.3030303030305,WTG
397,q1,kg/kg,0.006336101634302286,1530.3030303030305,WTG
398,q2,kg/kg,0.001340348365961634,1530.3030303030305,WTG
399,q3,kg/kg,0.0005026306372356127,1530.3030303030305,WTG
400,alpha_p,,0.4801785235730884,1530.3030303030305,WTG
401,epsilon2,,0.7382455336510099,1530.3030303030305,WTG
402,epsilon3,,0.39506280559183393,1530.3030303030305,WTG
403,T1,K,281.4981535882511,1530.3030303030305,WBG
404,T2,K,255.53266848484265,1530.3030303030305,WBG
405,T3,K,255.65104520618155,1530.3030303030305,WBG
406,T4,K,218.98799528534659,1530.3030303030305,WBG
407,Fa,W/$m^2$,174.48043907586262,1530.3030303030305,WBG
408,Fc,W/$m^2$,211.5872752691299,1530.3030303030305,WBG
409,fc,,0.4287482088956978,1530.3030303030305,WBG
410,q1,kg/kg,0.006327180629752497,1530.3030303030305,WBG
411,q2,kg/kg,0.0013369993917586344,1530.3030303030305,WBG
412,q3,kg/kg,0.0005013747719094878,1530.3030303030305,WBG
413,alpha_p,,0.480160870095085,1530.3030303030305,WBG
414,epsilon2,,0.7373674551853056,1530.3030303030305,WBG
415,epsilon3,,0.3943026086923449,1530.3030303030305,WBG
416,T1,K,281.9979605476058,1565.6565656565658,WTG
417,T2,K,256.26757018484676,1565.6565656565658,WTG
418,T3,K,256.26757018484676,1565.6565656565658,WTG
419,T4,K,221.84384083549708,1565.6565656565658,WTG
420,Fa,W/$m^2$,181.61620518094975,1565.6565656565658,WTG
421,Fc,W/$m^2$,220.05772156800194,1565.6565656565658,WTG
422,fc,,0.43187390807847065,1565.6565656565658,WTG
423,q1,kg/kg,0.006547481619661518,1565.6565656565658,WTG
424,q2,kg/kg,0.0014208410911538236,1565.6565656565658,WTG
425,q3,kg/kg,0.0005328154091826838,1565.6565656565658,WTG
426,alpha_p,,0.48300525635140834,1565.6565656565658,WTG
427,epsilon2,,0.7584892011498998,1565.6565656565658,WTG
428,epsilon3,,0.41304986354882856,1565.6565656565658,WTG
429,T1,K,281.97559580278687,1565.6565656565658,WBG
430,T2,K,256.23462432967375,1565.6565656565658,WBG
431,T3,K,256.36041142988967,1565.6565656565658,WBG
432,T4,K,221.82064929008624,1565.6565656565658,WBG
433,Fa,W/$m^2$,181.63749267837858,1565.6565656565658,WBG
434,Fc,W/$m^2$,220.00241928789637,1565.6565656565658,WBG
435,fc,,0.4318538918769513,1565.6565656565658,WBG
